CNAG_01802	Fe-S cluster assembly protein DRE2 (Anamorsin homolog)
CNAG_06114	Rab family protein
CNAG_02795	5'-phosphoribosylglycinamide transformylase (EC 2.1.2.2) (GAR transformylase)
CNAG_02364	Zn(2)-C6 fungal-type domain-containing protein
CNAG_01924	Uncharacterized protein
CNAG_08025	Cauli_VI domain-containing protein
CNAG_00549	Uncharacterized protein
CNAG_03629	NADH dehydrogenase (Quinone)
CNAG_02894	Uncharacterized protein
CNAG_03996	Guanosine-diphosphatase
CNAG_01971	Uncharacterized protein
CNAG_04658	Uncharacterized protein
CNAG_02507	Eukaryotic translation initiation factor 3 subunit H (eIF3h)
CNAG_07564	DUF4211 domain-containing protein
CNAG_06814	Homeobox_KN domain-containing protein
CNAG_04006	Uncharacterized protein
CNAG_01704	Mechanosensitive ion channel protein
CNAG_05933	Uncharacterized protein
CNAG_05436	DDE-1 domain-containing protein
CNAG_03962	DNA helicase (EC 3.6.4.12)
CNAG_00084	Glutaminyl-tRNA synthetase (EC 6.1.1.18)
CNAG_05910	Uncharacterized protein
CNAG_05846	Ubiquitin-conjugating enzyme E2 O
CNAG_07320	Uncharacterized protein
CNAG_01983	cAMP-independent regulatory protein
CNAG_01063	WD-repeat protein mip1
CNAG_00660	Histone deacetylase HOS3
CNAG_04829	AN1-type domain-containing protein
CNAG_05414	DUF1115 domain-containing protein
CNAG_06172	Transketolase (EC 2.2.1.1)
CNAG_03240	alpha-1
CNAG_04487	Transcription regulator
CNAG_00915	Uncharacterized protein
CNAG_01681	Cytosine permease
CNAG_07027	Protein SPT2
CNAG_00060	Chaperone regulator
CNAG_00754	ATP-binding cassette
CNAG_02714	Elongation factor 1-beta
CNAG_06610	MFS transporter
CNAG_04691	Uncharacterized protein
CNAG_02080	Uncharacterized protein
CNAG_04454	Uncharacterized protein
CNAG_06603	Di-and tripeptidase
CNAG_03642	Uncharacterized protein
CNAG_04048	53 kDa brg1-associated factor b
CNAG_00333	Chromo domain-containing protein
CNAG_03238	Dioxygenase subfamily protein
CNAG_05469	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
CNAG_06782	Uncharacterized protein
CNAG_06235	Uncharacterized protein
CNAG_00060	Chaperone regulator
CNAG_03971	Uncharacterized protein
CNAG_07765	Pyrid_ox_like domain-containing protein
CNAG_04859	Rho family protein
CNAG_07447	Uncharacterized protein
CNAG_00985	Long chronological lifespan protein 2
CNAG_03562	D-amino-acid oxidase
CNAG_00984	Glucose and ribitol dehydrogenase
CNAG_00537	Carnitine O-acetyltransferase
CNAG_04242	Rieske domain-containing protein
CNAG_03230	Protein yippee-like
CNAG_03038	Uncharacterized protein
CNAG_04665	Uncharacterized protein
CNAG_03250	DUF202 domain-containing protein
CNAG_07457	ABM domain-containing protein
CNAG_05938	Uncharacterized protein
CNAG_03317	AP-1 complex subunit mu-1
CNAG_02135	Protein transporter SEC20
CNAG_03105	Uncharacterized protein
CNAG_00451	Cytoplasmic protein
CNAG_00567	WD40 repeat protein
CNAG_00802	Calcineurin-binding protein
CNAG_00771	Large subunit ribosomal protein L29
CNAG_03181	Uncharacterized protein
CNAG_03069	Hydrolase
CNAG_01000	Nuclear pore complex protein Nup155
CNAG_07613	Uncharacterized protein
CNAG_02497	Thaumatin family protein
CNAG_01381	RNase_PH domain-containing protein (Fragment)
CNAG_01309	Arf/Sar family protein
CNAG_02205	pH-response regulator protein palC
CNAG_00503	Uncharacterized protein
CNAG_05468	AP endonuclease 1
CNAG_05350	Uncharacterized protein
CNAG_00154	Oxidoreductase
CNAG_01334	INCENP_ARK-bind domain-containing protein
CNAG_07836	NAD binding dehydrogenase
CNAG_01644	Uncharacterized protein
CNAG_05309	Uncharacterized protein
CNAG_01940	Alpha-amylase (EC 3.2.1.1)
CNAG_02382	Ribosome biogenesis protein BRX1
CNAG_05881	Mannosyltransferase (EC 2.4.1.-)
CNAG_01391	Hsp90 chaperone protein kinase-targeting subunit
CNAG_04919	Uncharacterized protein
CNAG_05550	Uncharacterized protein
CNAG_05749	Uncharacterized protein
CNAG_01941	Glucan synthesis regulatory protein
CNAG_00709	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)
CNAG_02171	DNA polymerase eta subunit
CNAG_06202	Uncharacterized protein
CNAG_00937	Uncharacterized protein
CNAG_00093	Uncharacterized protein
CNAG_04792	Phosphatidylserine decarboxylase proenzyme 2 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 beta chain; Phosphatidylserine decarboxylase 2 alpha chain]
